RDEM,DOGGY,Payer,BONE,175,print,1,;,X12,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.275,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X510
MOO,COW,Payer,BONE,175,print,1,;,X13,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.276,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X511
BAWK,CHICKEN,Payer,BONE,175,print,1,;,X14,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.277,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X512
GROWL,DOGGY,Payer,BONE,175,print,1,;,X15,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.278,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X513
SNORT,PIG,Payer,BONE,175,print,1,;,X16,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.279,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X514
MEOW,CAT,Payer,BONE,175,print,1,;,X17,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.280,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X515
BELLOW,OX,Payer,BONE,175,print,1,;,X18,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.281,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X516
ROAR,LION,Payer,BONE,175,print,1,;,X19,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.282,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X517
HISS,SNAKE,Payer,BONE,175,print,1,;,X20,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.283,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X518
NEIGH,HORSE,Payer,BONE,175,print,1,;,X21,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.284,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X519
BRAY,DONKEY,Payer,BONE,175,print,1,;,X22,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.285,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X520
CHIRP,BIRD,Payer,BONE,175,print,1,;,X23,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.286,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X521
MEW,KITTEN,Payer,BONE,175,print,1,;,X24,***,1234ABC_IMN.{dt:%&%&&%&%&}_{sq:05d}_TEST.287,50MB,111111111,222222222,some_file_name,K,nowhere,6126,PI,https://transformwcprint.ima.awsnonprod.healthcareit.net/api/payer/workcompediprint/transform,205367462,AA,*,0000000000CHCPT,ZZ,10,NPI,41,9,0000000000CHCPT ,0,AAA,004012X522
